,Federal adjusted gross income,Gender
647,0,1
648,95860,1
649,0,2
650,0,2
651,0,2
652,0,2
653,37526,1
654,0,2
655,0,1
656,21000,2
657,0,2
658,0,2
659,64084,1
660,0,2
661,0,1
662,0,2
663,0,1
664,9420,1
665,0,2
666,12001,1
667,36000,2
668,40000,1
669,0,1
670,24002,2
671,160866,2
672,0,1
673,18000,2
674,15000,1
675,0,1
676,13500,1
677,0,2
678,0,2
679,27000,2
680,82222,2
681,0,1
682,0,2
683,0,2
684,0,1
685,96675,2
686,27433,2
687,0,2
688,56003,1
689,0,2
690,0,2
691,172461,1
692,637856,2
693,0,1
694,0,1
695,395900,2
696,0,1
697,43000,1
698,20052,1
699,0,2
700,32961,1
701,80000,2
702,0,2
703,39876,1
704,0,2
705,50401,1
706,105480,2
707,0,2
708,5112,2
709,30000,2
710,0,1
711,379232,2
712,0,1
713,166247,2
714,0,1
715,0,2
716,0,1
717,16408,2
718,0,1
719,96680,1
720,0,2
721,68001,2
722,207701,2
723,0,1
724,52005,2
725,0,1
726,115697,2
727,0,1
728,30682,2
729,131600,2
730,0,1
731,40050,1
732,33244,2
733,0,2
734,151027,1
735,0,2
736,0,2
737,68329,1
738,0,2
739,62243,2
740,0,1
741,25000,2
742,71241,1
743,0,2
744,0,2
745,0,1
746,0,2
747,148076,2
748,0,1
749,0,1
750,0,1
751,180000,2
752,0,2
753,55761,1
754,59000,2
755,35000,2
756,80358,1
757,70350,1
758,140091,1
759,0,2
760,0,1
761,18100,2
762,0,1
763,0,1
764,8000,1
765,55761,1
766,10000,1
767,10000,2
768,10000,2
769,0,1
770,0,2
771,42120,2
772,8002,1
773,0,1
774,23265,2
775,35315,1
776,0,1
777,20000,2
778,9180,1
779,62306,1
780,0,2
781,3198,1
782,0,2
783,48600,2
784,60782,2
785,245200,1
786,0,2
787,0,1
788,0,2
789,86897,1
790,0,2
791,53920,2
792,17200,2
793,0,1
794,110000,2
795,148870,2
796,60003,1
797,116500,2
798,270480,2
799,60022,2
800,0,1
801,0,1
802,0,2
803,73195,2
804,0,2
805,53890,2
806,57855,2
807,0,1
808,21733,1
809,63533,2
810,60250,2
811,15001,2
812,2501,1
813,0,2
814,75962,1
815,110510,1
816,187682,2
817,0,1
818,154440,2
819,74127,1
820,0,2
821,173814,1
822,0,2
823,140024,1
824,0,2
825,8000,1
826,82277,2
827,0,1
828,52553,1
829,0,2
830,0,1
831,35400,2
832,52183,1
833,225410,2
834,0,1
835,0,2
836,0,2
837,48000,2
838,0,1
839,35000,2
840,35000,2
841,35000,2
842,36800,2
843,0,2
844,0,1
845,95127,2
846,0,1
847,36000,1
848,133446,1
849,240014,1
850,0,2
851,0,2
852,173000,1
853,0,2
854,0,1
855,0,1
856,13697,1
857,182430,2
858,0,1
859,32000,2
860,0,1
861,125634,1
862,0,1
863,105757,2
864,0,1
865,0,1
866,0,1
867,112845,1
868,0,2
869,3500,1
870,24960,1
871,85069,1
872,0,2
873,60010,1
874,55002,2
875,101469,2
876,152530,1
877,0,2
878,28058,1
879,38001,2
880,152300,1
881,0,2
882,0,2
883,0,1
884,77850,1
885,0,2
886,0,1
887,0,2
888,1000,2
889,0,2
890,0,2
891,122741,1
892,0,2
893,0,1
894,0,1
895,21800,2
896,0,2
897,30000,1
898,91775,2
899,0,1
900,0,1
901,0,2
902,336711,1
903,0,2
904,0,1
905,0,2
906,21200,2
907,0,2
908,0,2
909,59100,1
910,0,2
911,100101,1
912,0,2
913,1402,1
914,0,1
915,0,2
916,0,1
917,149280,2
918,0,1
919,0,2
920,70877,2
921,12013,1
922,5010,1
923,225750,2
924,0,1
925,75065,1
926,11506,2
927,83151,2
928,0,1
929,0,1
930,0,2
931,78102,2
932,0,1
933,189496,1
934,0,2
935,50041,1
936,0,2
937,125894,1
938,0,2
939,49002,1
940,231636,1
941,0,2
942,0,2
943,11761,1
944,142591,1
945,0,2
946,54370,1
947,0,2
948,87102,2
949,0,1
950,152001,2
951,0,1
952,0,1
953,35100,2
954,169559,1
955,0,2
956,40000,2
957,18000,1
958,63518,1
959,0,2
960,0,1
961,128545,1
962,0,2
963,326327,1
964,0,2
965,15161,1
966,20006,1
967,6383,1
968,0,2
969,92143,1
970,0,2
971,0,1
972,134742,1
973,0,2
974,50001,1
975,0,1
976,188901,2
977,0,1
978,0,1
979,0,2
980,48924,1
981,0,2
982,58141,2
983,0,2
984,0,2
985,129528,2
986,0,1
987,0,2
988,0,2
989,49815,1
990,52800,1
991,77100,1
992,6000,2
993,27000,2
994,32051,1
995,90032,2
996,0,1
997,10044,2
998,42510,2
999,65800,2
1000,0,1
1001,0,1
1002,0,2
1003,30819,2
1004,230272,1
1005,0,2
1006,54675,1
1007,89231,1
1008,0,2
1009,142945,1
1010,0,2
1011,78702,1
1012,29790,2
1013,0,2
1014,8990,1
1015,0,2
1016,60104,1
1017,0,2
1018,0,2
1019,267004,2
1020,0,1
1021,0,1
1022,0,1
1023,89251,1
1024,0,2
1025,0,1
1026,160520,1
1027,150475,1
1028,0,2
1029,0,1
1030,0,1
1031,0,1
1032,0,2
1033,74300,2
1034,0,1
1035,37000,1
1036,3900,1
1037,11505,2
1038,0,1
1039,0,2
1040,105245,1
1041,94600,2
1042,133001,1
1043,124001,1
1044,0,2
1045,0,2
1046,106052,1
1047,0,2
1048,34003,2
1049,0,1
1050,13000,2
1051,103009,2
1052,0,1
1053,93125,1
1054,38009,1
1055,222600,1
1056,0,2
1057,0,2
1058,0,1
1059,0,2
1060,71001,1
1061,54000,2
1062,189700,1
1063,0,2
1064,52520,1
1065,180001,2
1066,0,1
1067,0,2
1068,0,2
1069,0,1
1070,238396,1
1071,0,2
1072,0,1
1073,0,1
1074,0,2
1075,0,1
1076,73086,1
1077,0,2
1078,0,2
1079,0,1
1080,123436,2
1081,0,1
1082,0,1
1083,38000,2
1084,10000,1
1085,0,1
1086,0,2
1087,47000,1
1088,0,2
1089,0,2
1090,163639,2
1091,0,1
1092,0,1
1093,170108,1
1094,0,2
1095,30000,2
1096,0,1
1097,44036,2
1098,0,1
1099,0,1
1100,35000,1
1101,150425,2
1102,0,1
1103,3505,2
1104,3005,2
1105,0,2
1106,50201,1
1107,0,2
1108,0,2
1109,0,2
1110,0,2
1111,242006,2
1112,0,1
1113,6700,1
1114,6000,2
1115,114992,1
1116,0,2
1117,147092,2
1118,0,1
1119,0,1
1120,38803,1
1121,0,2
1122,19839,1
1123,30006,2
1124,0,1
1125,20000,1
1126,252340,2
1127,0,1
1128,0,1
1129,0,2
1130,37174,1
1131,20000,2
1132,233275,1
1133,0,2
1134,15932,2
1135,105601,1
1136,127068,1
1137,0,2
1138,33960,2
1139,0,1
1140,42000,2
1141,0,1
1142,0,1
1143,7816,2
1144,0,1
1145,81272,1
1146,143541,2
1147,0,1
1148,23387,2
1149,0,1
1150,245292,1
1151,0,2
1152,7000,1
1153,15000,2
1154,41500,1
1155,0,1
1156,0,1
1157,0,2
1158,30981,2
1159,255120,1
1160,0,2
1161,3000,1
1162,0,1
1163,86017,1
1164,151430,1
1165,60098,1
1166,0,2
1167,14000,2
1168,0,1
1169,0,2
1170,0,1
1171,24000,1
1172,10006,1
1173,0,2
1174,48542,1
1175,0,2
1176,0,2
1177,0,1
1178,0,1
1179,0,1
1180,47010,2
1181,0,1
1182,25000,1
1183,0,2
1184,0,2
1185,3612,1
1186,4092,1
1187,110822,2
1188,0,1
1189,43000,1
1190,0,1
1191,88218,2
1192,0,1
1193,0,1
1194,0,1
1195,99954,2
1196,0,1
1197,204759,2
1198,0,1
1199,25000,1
1200,0,1
1201,0,1
1202,0,2
1203,25026,2
1204,0,1
1205,89884,2
1206,0,1
1207,70855,1
1208,0,2
1209,28001,2
1210,30000,2
1211,0,1
1212,17000,1
1213,3826,2
1214,118002,2
1215,23014,2
1216,10001,1
1217,365025,1
1218,0,2
1219,0,2
1220,85467,1
1221,0,2
1222,124604,2
1223,0,1
1224,0,1
1225,0,2
1226,184954,2
1227,0,1
1228,2429,2
1229,0,1
1230,40001,2
1231,163202,2
1232,0,2
1233,130860,2
1234,0,1
1235,56700,1
1236,11520,1
1237,154714,1
1238,0,2
1239,10599,2
1240,0,1
1241,0,2
1242,52336,2
1243,156737,1
1244,0,2
1245,0,1
1246,262930,2
1247,0,1
1248,75571,1
1249,0,2
1250,2927,2
1251,0,1
1252,0,1
1253,0,1
1254,0,1
1255,330796,1
1256,0,2
1257,204819,2
1258,0,1
1259,67500,1
1260,186435,2
1261,40204,2
1262,0,1
1263,60400,2
1264,70104,2
1265,113500,1
1266,0,2
1267,0,2
1268,84035,1
1269,22000,1
1270,70282,1
1271,0,2
1272,278365,2
1273,0,1
1274,92735,1
1275,0,2
1276,100091,2
1277,0,1
1278,0,2
1279,0,1
1280,32003,2
1281,34003,1
1282,16444,1
1283,0,2
1284,209158,1
1285,0,2
1286,0,1
1287,4800,1
1288,25000,2
1289,69802,1
1290,0,2
1291,24001,2
1292,0,1
1293,55216,1
1294,0,2
1295,184060,2
1296,0,1
1297,27550,1
1298,135311,1
1299,39125,1
1300,101294,2
1301,149890,2
1302,0,1
1303,98151,2
1304,0,1
1305,55121,1
1306,0,2
1307,102800,2
1308,0,1
1309,0,1
1310,0,2
1311,0,2
1312,0,1
1313,80010,1
1314,0,2
1315,116606,1
1316,0,1
1317,52033,1
1318,35001,1
1319,275160,1
1320,0,2
1321,0,2
1322,136200,2
1323,62194,2
1324,0,2
1325,50030,1
1326,0,2
1327,0,1
1328,0,2
1329,136269,2
1330,0,1
1331,60000,1
1332,183020,2
1333,111522,2
1334,0,1
1335,14041,2
1336,9015,2
1337,129005,1
1338,0,2
1339,0,2
1340,42000,2
1341,3500,1
1342,0,1
1343,663200,1
1344,0,2
1345,35550,2
1346,0,2
1347,61209,1
1348,30075,1
1349,20000,1
1350,0,1
1351,0,1
1352,35701,1
1353,48869,2
1354,0,1
1355,0,2
1356,0,1
1357,0,2
1358,0,1
1359,58000,1
1360,0,2
1361,38699,1
1362,0,2
1363,13992,1
1364,0,2
1365,34832,2
1366,0,1
1367,0,1
1368,25200,2
1369,16000,1
1370,140010,2
1371,309951,1
1372,0,2
1373,20000,1
1374,0,1
1375,319489,2
1376,0,1
1377,0,1
1378,104329,1
1379,0,2
1380,0,2
1381,0,2
1382,151010,1
1383,0,2
1384,0,2
1385,0,2
1386,4000,1
1387,125000,1
1388,0,2
1389,37000,1
1390,0,1
1391,0,1
1392,0,1
1393,0,2
1394,341016,1
1395,0,2
1396,0,2
1397,0,2
1398,99489,1
1399,0,2
1400,14000,2
1401,145407,2
1402,0,1
1403,12010,1
1404,40021,1
1405,25051,1
1406,7956,2
1407,32000,2
1408,0,2
1409,77539,1
1410,16010,1
1411,0,2
1412,4572,2
1413,0,2
1414,0,2
1415,233966,1
1416,0,2
1417,0,2
1418,115010,1
1419,0,2
1420,10004,1
1421,3209,1
1422,9015,2
1423,22850,2
1424,90200,1
1425,30563,2
1426,6927,2
1427,0,1
1428,53185,1
1429,89852,1
1430,0,1
1431,125001,2
1432,292502,1
1433,0,2
1434,196351,2
1435,0,2
1436,0,1
1437,20001,2
1438,0,1
1439,0,2
1440,109150,1
1441,0,2
1442,20000,1
1443,35106,1
1444,52700,2
1445,48001,1
1446,40013,1
1447,0,1
1448,0,2
1449,205483,2
1450,0,1
1451,128530,1
1452,0,2
1453,0,2
1454,60000,1
1455,4800,1
1456,22000,2
1457,28183,2
1458,50601,1
1459,105540,1
1460,0,2
1461,10171,1
1462,8595,1
1463,350000,1
1464,0,2
1465,52000,1
1466,81512,2
1467,305301,2
1468,0,1
1469,3010,1
1470,0,2
1471,52182,2
1472,0,1
1473,52501,2
1474,134731,1
1475,0,2
1476,0,2
1477,78051,1
1478,0,2
1479,0,1
1480,0,2
1481,0,1
1482,60001,1
1483,0,2
1484,139136,1
1485,0,2
1486,0,2
1487,0,1
1488,112050,2
1489,0,1
1490,244774,1
1491,0,2
1492,0,1
1493,26000,1
1494,86293,2
1495,25001,1
1496,54940,2
1497,35101,1
1498,24500,2
1499,0,1
1500,30000,2
1501,190352,1
1502,0,2
1503,0,1
1504,0,1
1505,40474,1
1506,0,2
1507,5601,1
1508,0,2
1509,125150,1
1510,0,2
1511,41250,1
1512,170761,1
1513,0,2
1514,0,2
1515,0,1
1516,210101,1
1517,25000,1
1518,126100,1
1519,0,2
1520,29010,1
1521,115017,1
1522,0,2
1523,3000,2
1524,0,1
1525,0,2
1526,142001,1
1527,0,2
1528,152105,1
1529,0,2
1530,15000,1
1531,0,1
1532,0,1
1533,71127,1
1534,0,2
1535,6001,1
1536,6011,2
1537,0,1
1538,0,1
1539,12107,1
1540,34004,1
1541,271003,2
1542,0,1
1543,0,2
1544,0,1
1545,250656,1
1546,0,2
1547,0,2
1548,0,2
1549,1116,1
1550,0,2
1551,0,1
1552,0,2
1553,249020,2
1554,0,1
1555,10002,2
1556,0,2
1557,134560,1
1558,0,2
1559,123000,1
1560,0,2
1561,6250,2
1562,75410,1
1563,0,2
1564,48000,2
1565,0,1
1566,0,2
1567,78600,1
1568,0,1
1569,0,2
1570,185002,1
1571,0,2
1572,0,2
1573,0,1
1574,10866,1
1575,0,2
1576,0,1
1577,0,1
1578,148756,1
1579,0,2
1580,0,2
1581,0,2
1582,25001,1
1583,0,2
1584,0,1
1585,9002,2
1586,0,1
1587,86001,2
1588,0,1
1589,0,2
1590,130277,1
1591,0,2
1592,0,1
1593,0,1
1594,0,2
1595,0,1
1596,0,1
1597,305029,1
1598,0,2
1599,0,2
1600,0,2
1601,0,2
1602,109000,2
1603,8400,1
1604,0,2
1605,246020,1
1606,0,2
1607,0,2
1608,0,1
1609,38000,2
1610,0,1
1611,0,1
1612,53001,1
1613,0,2
1614,145001,2
1615,284785,1
1616,0,2
1617,0,2
1618,2010,2
1619,0,2
1620,19661,1
1621,0,2
1622,3248,2
1623,0,1
1624,0,1
1625,229821,1
1626,0,2
1627,0,2
1628,146741,1
1629,0,2
1630,0,2
1631,0,2
1632,86027,1
1633,0,2
1634,0,2
1635,0,1
1636,170606,1
1637,0,2
1638,1202,2
1639,0,1
1640,74000,2
1641,50000,2
1642,0,1
1643,137002,2
1644,0,2
1645,0,2
1646,95000,1
1647,0,2
1648,0,1
1649,0,1
1650,167360,2
1651,0,1
1652,0,2
1653,0,2
1654,16000,2
1655,15001,2
1656,29000,1
1657,140000,1
1658,0,2
1659,0,2
1660,0,1
1661,74191,2
1662,0,1
1663,0,2
1664,32300,2
1665,52002,2
1666,549800,2
1667,0,1
1668,2900,1
1669,12903,2
1670,384036,1
1671,0,1
1672,0,1
1673,13017,1
1674,54840,1
1675,0,2
1676,19200,1
1677,24960,1
1678,27000,2
1679,0,2
1680,37588,1
1681,0,2
1682,0,1
1683,0,2
1684,0,1
1685,0,1
1686,122549,1
1687,0,2
1688,95201,2
1689,0,1
1690,22030,1
1691,381669,1
1692,30400,1
1693,0,2
1694,0,2
1695,0,2
1696,51000,2
1697,28400,1
1698,0,2
1699,0,1
1700,128331,1
1701,0,2
1702,75200,1
1703,0,1
1704,2171,2
1705,191004,2
1706,0,1
1707,13504,1
1708,0,1
1709,0,1
1710,29906,1
1711,0,2
1712,75050,1
1713,61050,1
1714,0,2
1715,170016,1
1716,0,2
1717,0,2
1718,90012,1
1719,0,2
1720,80725,1
1721,35011,2
1722,198919,1
1723,0,2
1724,0,1
1725,119670,1
1726,0,2
1727,17001,2
1728,161012,1
1729,0,2
1730,0,2
1731,0,1
1732,12000,2
1733,0,1
1734,0,2
1735,0,1
1736,28649,2
1737,0,1
1738,30349,1
1739,74631,2
1740,0,1
1741,30587,1
1742,0,2
1743,20680,2
1744,0,1
1745,0,2
1746,88662,1
1747,0,2
1748,271408,1
1749,0,2
1750,1202,2
1751,1402,1
1752,20170,2
1753,0,1
1754,0,1
1755,0,1
1756,3980,2
1757,13000,2
1758,54200,2
1759,125252,1
1760,0,2
1761,7988,1
1762,2995,2
1763,0,1
1764,70700,1
1765,90069,1
1766,0,2
1767,0,2
1768,119102,1
1769,0,2
1770,12000,1
1771,59500,1
1772,225960,2
1773,1952,1
1774,50002,2
1775,0,2
1776,0,1
1777,57000,2
1778,0,1
1779,0,2
1780,0,1
1781,26005,2
1782,0,1
1783,30038,2
1784,45980,1
1785,75011,2
1786,0,1
1787,0,2
1788,116595,1
1789,0,2
1790,146422,1
1791,0,2
1792,0,1
1793,0,1
1794,173400,2
1795,0,1
1796,0,1
1797,25001,2
1798,0,2
1799,35000,1
1800,25000,1
1801,41000,2
1802,489893,2
1803,0,1
1804,0,1
1805,134992,1
1806,0,2
1807,13823,2
1808,0,1
1809,0,1
1810,47228,1
1811,0,1
1812,35005,2
1813,0,2
1814,0,1
1815,156829,2
1816,0,1
1817,39441,1
1818,5705,2
1819,4387,1
1820,166382,1
1821,0,2
1822,0,2
1823,98200,1
1824,0,2
1825,0,1
1826,59094,1
1827,0,2
1828,32250,1
1829,37000,2
1830,0,2
1831,0,1
1832,43201,1
1833,0,2
1834,0,1
1835,0,2
1836,0,1
1837,0,2
1838,0,1
1839,0,1
1840,3154,1
1841,202120,1
1842,0,2
1843,45140,1
1844,143000,2
1845,0,1
1846,4525,2
1847,13290,2
1848,0,1
1849,95450,2
1850,0,1
1851,5000,2
1852,103535,1
1853,0,2
1854,49000,1
1855,169710,1
1856,20797,1
1857,142313,2
1858,0,1
1859,0,1
1860,0,2
1861,50459,2
1862,85810,2
1863,0,1
1864,0,1
1865,51004,2
1866,98565,1
1867,0,2
1868,219903,1
1869,0,2
1870,30000,1
1871,155000,1
1872,0,2
1873,2200,2
1874,0,2
1875,0,2
1876,90808,2
1877,0,1
1878,66010,1
1879,41955,1
1880,0,2
1881,300032,2
1882,0,1
1883,84000,1
1884,0,2
1885,0,2
1886,120168,2
1887,0,1
1888,0,2
1889,0,1
1890,14477,1
1891,0,2
1892,152055,1
1893,0,2
1894,0,1
1895,0,2
1896,36181,1
1897,0,2
1898,4977,2
1899,0,1
1900,73198,2
1901,94568,1
1902,0,2
1903,4010,2
1904,186279,1
1905,0,2
1906,2460,1
1907,0,1
1908,36002,2
1909,110421,2
1910,55903,2
1911,0,1
1912,62648,2
1913,0,1
1914,200,1
1915,78071,2
1916,0,1
1917,47006,2
1918,0,1
1919,0,1
1920,0,2
1921,66411,2
1922,0,2
1923,0,2
1924,0,1
1925,70733,1
1926,0,2
1927,0,1
1928,0,1
1929,35000,2
1930,0,1
1931,95182,1
1932,0,2
1933,374050,1
1934,0,2
1935,0,2
1936,0,1
1937,0,2
1938,252251,2
1939,0,1
1940,0,1
1941,0,2
1942,64166,2
1943,0,1
1944,45000,1
1945,0,2
1946,0,1
1947,45500,2
1948,0,2
1949,0,1
1950,0,2
1951,0,2
1952,0,2
1953,12000,1
1954,79000,2
1955,0,1
1956,0,2
1957,0,1
1958,275880,1
1959,0,2
1960,0,2
1961,0,2
1962,0,2
1963,160615,1
1964,0,2
1965,5010,2
1966,14000,1
1967,53000,2
1968,43000,2
1969,46000,1
1970,0,2
1971,0,1
1972,20607,1
1973,167880,1
1974,0,2
1975,0,2
1976,0,2
1977,0,2
1978,64587,2
1979,0,1
1980,0,2
1981,96351,2
1982,0,1
1983,0,1
1984,0,1
1985,0,2
1986,41198,1
1987,0,2
1988,0,2
1989,7231,2
1990,76310,1
1991,0,2
1992,0,2
1993,0,2
1994,0,2
1995,0,2
1996,0,1
1997,140257,1
